번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
F1,어벤져스: 엔드게임,액션|SF,2019,13934592,F,47641
F2,겨울왕국 2,어드벤처|코메디|가족|판타지|뮤지컬,2019,13768686,F,48331
F3,아바타,액션|SF|어드벤처,2009,13624328,F,24464
F4,알라딘,어드벤처|가족|판타지|뮤지컬|멜로드라마,2019,12555894,F,46436
F5,어벤져스: 인피니티 워,액션|어드벤처|판타지,2018,11211880,F,41205
F6,아바타: 물의 길,액션|어드벤처|SF|스릴러|판타지,2022,10805065,F,55873
F7,어벤져스: 에이지 오브 울트론,SF|액션|판타지,2015,10494499,F,33702
F8,겨울왕국,코메디|가족|어드벤처|판타지,2014,10328426,F,32196
F9,인터스텔라,SF,2014,10273803,F,32372
F10,보헤미안 랩소디,드라마,2018,9948386,F,45647
F11,아이언 맨 3,액션|SF|어드벤처,2013,9001309,F,30375
F12,캡틴 아메리카: 시빌 워,액션|SF|스릴러,2016,8677249,F,35357
F13,탑건: 매버릭,액션,2022,8177446,F,55668
F14,스파이더맨: 파 프롬 홈,어드벤처|코메디|SF|액션|판타지,2019,8020208,F,48068
F15,트랜스포머 3,액션|SF|어드벤처,2011,7784807,F,27441
F16,미션 임파서블: 고스트 프로토콜,액션,2011,7575899,F,28256
F17,스파이더맨: 노 웨이 홈,액션|어드벤처|SF,2021,7551990,F,54172
F18,트랜스포머: 패자의 역습,액션|SF|어드벤처,2009,7505700,F,23715
F19,트랜스포머,액션|SF|어드벤처,2007,7440531,F,20510
F20,스파이더맨: 홈 커밍,액션|SF|어드벤처,2017,7257973,F,38500
F21,엘리멘탈,어드벤처|판타지|SF,2023,7238021,F,57443
F22,어벤져스,액션|SF|어드벤처,2012,7074867,F,29414
F23,미션 임파서블: 폴아웃,액션|스릴러,2018,6584915,F,42274
F24,다크 나이트 라이즈,액션|범죄|스릴러,2012,6396528,F,28492
F25,미션 임파서블: 로그네이션,액션,2015,6126488,F,34242
F26,킹스맨: 시크릿 에이전트,액션|코메디|어드벤처,2015,6125154,F,33436
F27,반지의 제왕: 왕의 귀환,액션|드라마|어드벤처|판타지|전쟁,2003,5960000,F,09308
F28,인셉션,SF|미스터리|스릴러,2010,5926948,F,26312
F29,레미제라블,드라마,2012,5911890,F,30094
F30,닥터 스트레인지: 대혼돈의 멀티버스,액션|판타지|어드벤처,2022,5884587,F,55054
F31,캡틴 마블,액션|어드벤처|SF,2019,5801069,F,46900
F32,미션 임파서블 3,액션,2006,5740789,F,11007
F33,쥬라기 월드: 폴른 킹덤,SF|액션|어드벤처,2018,5661128,F,41352
F34,스즈메의 문단속,액션|어드벤처|판타지,2023,5573669,F,56776
F35,쥬라기 월드,액션|SF|어드벤처,2015,5546792,F,34147
F36,앤트맨과 와스프,액션|어드벤처|SF,2018,5447826,F,41907
F37,닥터 스트레인지,액션|어드벤처|판타지,2016,5446379,F,36170
F38,블랙 팬서,액션|드라마|SF,2018,5398994,F,39570
F39,트랜스포머4: 사라진 시대,SF|액션|어드벤처,2014,5295801,F,32566
F40,조커,액션|드라마|스릴러|범죄,2019,5255228,F,48336
F41,월드워Z,SF|드라마|액션|스릴러,2013,5237525,F,30748
F42,반지의 제왕: 두 개의 탑,액션|드라마|어드벤처|판타지,2002,5183000,F,08116
F43,미녀와 야수,멜로드라마|판타지|가족,2017,5137993,F,38325
F44,쿵푸 팬더 2,액션|코메디|어드벤처|가족,2011,5062722,F,27761
F45,아쿠아맨,액션|어드벤처|SF,2018,5038134,F,45387
F46,인사이드 아웃,드라마|아동,2015,4968687,F,34547
F47,캐리비안의 해적 - 세상의 끝에서,액션|코메디|어드벤처|판타지,2007,4966571,F,20500
F48,킹스맨: 골든 서클,액션|어드벤처|코메디,2017,4945484,F,39307
F49,스파이더맨 3,액션|SF,2007,4935660,F,20480
F50,마션,액션|SF|어드벤처,2015,4875494,F,34551
F51,토르: 라그나로크,액션|어드벤처|판타지|SF,2017,4857152,F,39579
F52,어메이징 스파이더맨,액션|어드벤처|스릴러,2012,4853123,F,27598
F53,더 퍼스트 슬램덩크,스포츠,2023,4780638,F,57286
F54,라이온 킹,어드벤처|드라마|가족|뮤지컬,2019,4743184,F,48090
F55,주토피아,어드벤처|액션|코메디|가족,2016,4703245,F,35339
F56,엣지 오브 투모로우,SF|액션,2014,4697142,F,32369
F57,쿵푸 팬더,액션|코메디|가족|어드벤처,2008,4673009,F,21862
F58,신비한 동물사전,어드벤처|판타지|가족,2016,4666993,F,35673
F59,캐리비안의 해적 - 망자의 함,액션|코메디|어드벤처|판타지,2006,4628903,F,11683
F60,박물관이 살아있다,코메디|어드벤처,2006,4612831,F,12880
F61,터미네이터: 미래전쟁의 시작,액션|SF,2009,4568891,F,23665
F62,맘마미아!,코메디|멜로드라마|뮤지컬,2008,4554785,F,22448
F63,아이언 맨 2,액션|드라마|SF,2010,4498335,F,26242
F64,해리 포터와 죽음의 성물2,어드벤처|미스터리|판타지,2011,4400298,F,27942
F65,아이언 맨,액션|드라마|SF|어드벤처|스릴러,2008,4316003,F,21745
F66,다크 나이트,액션|드라마|범죄|미스터리,2008,4283639,F,21819
F67,킹콩,드라마|어드벤처,2005,4232430,F,11027
F68,가디언즈 오브 갤럭시: Volume 3,액션|어드벤처|SF,2023,4208994,F,57556
